ProblemName,Permutation,T_lp-bb,T_lp-bb-local-dual-proofs,T_lp-bb-no-lp,N_lp-bb,N_lp-bb-local-dual-proofs,N_lp-bb-no-lp,DI_lp-bb,DI_lp-bb-local-dual-proofs,DI_lp-bb-no-lp,TQ+1_lp-bb,TQ+1_lp-bb-local-dual-proofs,TQ+1_lp-bb-no-lp,NQ+100_lp-bb,NQ+100_lp-bb-local-dual-proofs,NQ+100_lp-bb-no-lp,DIQ_lp-bb,DIQ_lp-bb-local-dual-proofs,DIQ_lp-bb-no-lp
autocorr_bern25-25,0,7200,7200,7200,289911,287812,328682,599345.32,599648.8,598660.77,1,1,1,0.882076877687951,0.875692708238286,1,1.00114346894653,1.00165040044298,1
autocorr_bern25-25,1,7200,7200,7200,247944,214218,286811,592071.96,518437.13,497605.5,1,1,1,0.864532903931881,0.746984256441893,1,1.18984207369091,1.04186374547709,1
autocorr_bern25-25,2,7200,7200,7200,204955,207123,322253,610566.27,610398.19,601219.37,1,1,1,0.636119409467261,0.642844955685227,1,1.01554657162826,1.01526700645057,1
autocorr_bern30-04,0,567.49,568.26,463.7,824450,824450,668272,18007.47,18031.59,14516.04,1.22334839681515,1.22500537981493,1,1.23366927399712,1.23366927399712,1,1.24052220853621,1.24218381872742,1
autocorr_bern30-04,1,526.68,528,477.45,753958,753958,702459,16337.25,16385.73,15513.15,1.10289476434319,1.1056536733201,1,1.07330202872641,1.07330202872641,1,1.05312267334487,1.05624776399377,1
autocorr_bern30-04,2,600.81,600.03,547.95,891728,891728,805399,10971.75,10958.71,16784.6,1.09629292285272,1.09487202841789,1,1.10717455887593,1.10717455887593,1,0.653679563409316,0.652902660772375,1
autocorr_bern30-08,0,7200,7200,7200,1472244,1470934,1448144,519160.92,200973.92,180218.73,1,1,1,1.01664084228901,1.01573629857952,1,2.88072677018643,1.1151666644194,1
autocorr_bern30-08,1,7200,7200,7200,1426595,1426295,1516624,516475.77,522879.94,415675.69,1,1,1,0.940642463625551,0.940444668904824,1,1.24249693312592,1.25790358344025,1
autocorr_bern30-08,2,7200,7200,7200,1335590,1460394,1513474,438559.76,520541.82,479700.76,1,1,1,0.882474196834776,0.964930687234321,1,0.914236116699085,1.08513861850042,1
autocorr_bern30-15,0,7200,7200,7200,555814,552213,509542,553456.12,553656.39,559584.42,1,1,1,1.09079314499197,1.08372740080292,1,0.989048479941597,0.989406370534762,1
autocorr_bern30-15,1,7200,7200,7200,552437,555854,513359,553713.3,553401.1,559288.9,1,1,1,1.07610734255315,1.08276220691428,1,0.9900309124676,0.989472703642071,1
autocorr_bern30-15,2,7200,7200,7200,555074,554067,508534,553494.03,553576.24,559476.55,1,1,1,1.09149997837345,1.08952016577736,1,0.989306933418389,0.98945387434022,1
autocorr_bern30-23,0,7200,7200,7200,63291,63082,88265,629372.91,629401.5,626176.03,1,1,1,0.717376789452838,0.715011599615232,1,1.00510540143161,1.00515105951916,1
autocorr_bern30-23,1,7200,7200,7200,63197,63265,88982,629384.82,629376.82,626090.95,1,1,1,0.710547585370782,0.711310927011068,1,1.00526100880391,1.00524823110764,1
autocorr_bern30-23,2,7200,7200,7200,63054,63291,88352,629415.64,629374.37,626174.33,1,1,1,0.713991769547325,0.716671188893411,1,1.00517636997352,1.00511046181021,1
autocorr_bern30-30,0,7200,7200,7200,66,66,66,1025087.33,1019453.49,1020299.24,1,1,1,1,1,1,1.00469282913511,0.999171076516728,1
autocorr_bern30-30,1,7200,7200,7200,66,66,66,1022380.74,1019576.33,1023417.9,1,1,1,1,1,1,0.998986572347425,0.996246332998475,1
autocorr_bern30-30,2,7200,7200,7200,66,66,66,1023230.68,1020323.55,1019560.69,1,1,1,1,1,1,1.00359957973664,1.00074822421802,1
autocorr_bern35-04,0,3979.89,3991.62,2692.43,5243100,5243100,3871001,99434.98,99671.63,71759.25,1.47800017078595,1.48235521249856,1,1.35444670650546,1.35444670650546,1,1.38567473879674,1.38897257148033,1
autocorr_bern35-04,1,4934.99,4943.46,5636.04,5548734,5549162,7464527,51714.43,51831.17,149792.68,0.875635085080113,0.877137646708201,1,0.743350471497102,0.743407808588426,1,0.345240034426248,0.346019378249992,1
autocorr_bern35-04,2,2619.7,2606.07,2700.58,3599710,3599710,3575852,71559.23,71203.65,69689.61,0.970061963739737,0.965016767965413,1,1.00667178977794,1.00667178977794,1,1.02682781550937,1.02172547672458,1
autocorr_bern35-09,0,7200,7200,7200,624181,642056,590796,612113.1,435292.15,612697.22,1,1,1,1.05649894397661,1.0867496141453,1,0.999046641667478,0.710452301383055,1
autocorr_bern35-09,1,7200,7200,7200,619435,622437,635177,245828.34,247569.8,414818.63,1,1,1,0.975220258249551,0.979945755945831,1,0.592616440587541,0.596814564476046,1
autocorr_bern35-09,2,7200,7200,7200,729013,731736,665317,460224.65,458281.25,609356.14,1,1,1,1.09572343357624,1.09981560435035,1,0.755263826503824,0.75207455856603,1
autocorr_bern35-18,0,7200,7200,7200,17601,17840,18161,617973.43,617827.85,617715.96,1,1,1,0.969333552379388,0.982421554131756,1,1.00041680969357,1.00018113503171,1
autocorr_bern35-18,1,7200,7200,7200,17783,17662,18403,617867.66,617936.74,617558.8,1,1,1,0.966491920229152,0.959952440144841,1,1.00050013051389,1.00061199030764,1
autocorr_bern35-18,2,7200,7200,7200,17644,17555,18190,617980.02,618008.4,617684.62,1,1,1,0.970147621651176,0.965281574630946,1,1.00047823758345,1.00052418336076,1
autocorr_bern35-26,0,7200,7200,7200,18462,18601,26912,650916.55,650865.43,649744.28,1,1,1,0.687176069894862,0.692321930993632,1,1.00180420210856,1.00172552500193,1
autocorr_bern35-26,1,7200,7200,7200,18451,18460,26779,651071.27,651046.4,649920.97,1,1,1,0.690167044904944,0.690501878790134,1,1.00176990750122,1.00173164131017,1
autocorr_bern35-26,2,7200,7200,7200,18377,18606,26791,651067.73,650969.46,649883.59,1,1,1,0.687107210590904,0.69562307091592,1,1.0018220801667,1.00167086847046,1
autocorr_bern35-35,0,7200,7200,7200,1,1,1,911466.64,906489.85,908497.46,1,1,1,1,1,1,1.0032682314819,0.997790186446971,1
autocorr_bern35-35,1,7200,7200,7200,1,1,1,791341.24,787095.52,785048.49,1,1,1,1,1,1,1.00801574689991,1.0026075204603,1
autocorr_bern35-35,2,7200,7200,7200,1,1,1,1027472.88,1026319.4,1024562.79,1,1,1,1,1,1,1.00284032372482,1.00171449716615,1
autocorr_bern35-35fix,0,7200,7200,7200,13402,13402,13522,720000,720000,720000,1,1,1,0.991190720892674,0.991190720892674,1,1,1,1
autocorr_bern35-35fix,1,7200,7200,7200,13481,13331,13265,720000,720000,720000,1,1,1,1.01616161616162,1.00493827160494,1,1,1,1
autocorr_bern35-35fix,2,7200,7200,7200,13462,13451,13431,720000,720000,720000,1,1,1,1.00229103540019,1.00147808735496,1,1,1,1
autocorr_bern40-05,0,7200,7200,7200,1153835,1156465,1217445,40009.48,516343.26,516628.95,1,1,1,0.947755524436468,0.949915608868666,1,0.077443356590838,0.999447011244724,1
autocorr_bern40-05,1,7200,7200,7200,1186565,1194265,1207655,156567.45,514981.47,243004.72,1,1,1,0.982537849149869,0.988913314372534,1,0.644297979068061,2.11922414511126,1
autocorr_bern40-05,2,7200,7200,7200,1204905,1208793,1184934,40016.51,516050.68,515880.31,1,1,1,1.01685268102012,1.02013359954229,1,0.077569368755322,1.00033025102276,1
autocorr_bern40-10,0,7200,7200,7200,193733,193871,212755,180593.47,179610.36,179238.82,1,1,1,0.910633999671138,0.911282328345587,1,1.0075577935628,1.00207287684666,1
autocorr_bern40-10,1,7200,7200,7200,194345,193951,212266,179386.43,179757.36,180020.83,1,1,1,0.915612668694612,0.913757381125039,1,0.996475963364906,0.998536447143366,1
autocorr_bern40-10,2,7200,7200,7200,194345,193654,212642,178979.53,180072.53,179640.04,1,1,1,0.913994415771216,0.910746350039014,1,0.996323147111301,1.00240753676074,1
autocorr_bern40-20,0,7200,7200,7200,31144,31105,32585,647627.6,647654.72,647124.73,1,1,1,0.955912498087808,0.954719290194279,1,1.00077708357707,1.00081899203574,1
autocorr_bern40-20,1,7200,7200,7200,31353,31352,32731,647353.01,647355.21,646851.57,1,1,1,0.958027474033688,0.957997015016296,1,1.00077520102487,1.00077860211424,1
autocorr_bern40-20,2,7200,7200,7200,31314,31351,32693,647382.08,647385.06,646883.93,1,1,1,0.957948342634099,0.959076632208093,1,1.00077007632575,1.00077468302544,1
autocorr_bern40-30,0,7200,7200,7200,1671,1671,10114,673931.55,673928.82,665463.87,1,1,1,0.173389465439593,0.173389465439593,1,1.01272447743857,1.01272037503704,1
autocorr_bern40-30,1,7200,7200,7200,1671,1671,10142,673934.42,673940.55,665461.42,1,1,1,0.172915446201914,0.172915446201914,1,1.01273251873865,1.01274173039212,1
autocorr_bern40-30,2,7200,7200,7200,1671,1672,10181,673945.83,673933.52,665434.85,1,1,1,0.172259507829978,0.172356774632818,1,1.01279010259231,1.01277160341091,1
autocorr_bern45-05,0,7200,7200,7200,1045496,983155,962976,535039.32,535657.77,542562.29,1,1,1,1.08568378819532,1.02095265586517,1,0.986134366249449,0.987274235369362,1
autocorr_bern45-05,1,7200,7200,7200,818156,839726,821226,524705.78,524438.02,526870.52,1,1,1,0.996262141950943,1.02252455176142,1,0.995891324494678,0.995383116140185,1
autocorr_bern45-05,2,7200,7200,7200,837766,809535,855693,521863.54,521681.01,516225.2,1,1,1,0.979052177337277,0.94606405988364,1,1.01092224866202,1.01056866266893,1
autocorr_bern45-11,0,7200,7200,7200,53331,52993,53532,658404.02,658446.75,658438.41,1,1,1,0.996252237470167,0.989950029832936,1,0.999947770361696,1.00001266633276,1
autocorr_bern45-11,1,7200,7200,7200,52731,53117,53530,658516.05,658474.52,658498.02,1,1,1,0.985101622226366,0.992299086332277,1,1.00002738049235,0.999964312724889,1
autocorr_bern45-11,2,7200,7200,7200,52292,52467,50751,658634.01,658612.75,658775.74,1,1,1,1.03030422213919,1.03374564905312,1,0.999784858501316,0.99975258651753,1
autocorr_bern45-23,0,7200,7200,7200,230,230,230,728083.31,726105.55,727037.75,1,1,1,1,1,1,1.00143810964424,0.998717810732661,1
autocorr_bern45-23,1,7200,7200,7200,230,230,230,717432.12,718238.99,720735.5,1,1,1,1,1,1,0.995416654237234,0.996536163405299,1
autocorr_bern45-23,2,7200,7200,7200,230,230,230,713145.62,711228.33,711499.31,1,1,1,1,1,1,1.00231386029032,0.999619142287011,1
autocorr_bern45-34,0,7200,7200,7200,703,702,,678203.58,678224.68,720000,1,1,1,0,0,0,0.941949416666667,0.941978722222222,1
autocorr_bern45-34,2,7200,7200,7200,703,702,,678205.64,678213.7,720000,1,1,1,0,0,0,0.941952277777778,0.941963472222222,1
autocorr_bern45-45,0,7200,7200,7200,,,,720000,720000,720000,1,1,1,0,0,0,1,1,1
autocorr_bern45-45,1,7200,7200,7200,,,,720000,720000,720000,1,1,1,0,0,0,1,1,1
autocorr_bern45-45,2,7200,7200,7200,,,,720000,720000,720000,1,1,1,0,0,0,1,1,1
autocorr_bern50-06,0,7200,7200,7200,615996,619566,618825,617146.23,617156.5,616537.37,1,1,1,0.995429171547441,1.00119723714505,1,1.00098754759991,1.00100420514656,1
